SetNo,GameNo,PointNumber,ServerGamesWon,ReceiverGamesWon,ServerScore,ReceiverScore,ServerPointsWon,ReceiverPointsWon,ServerMomentum,ReceiverMomentum,ServerSetsWon,ReceiverSetsWon,GameDiff,SetDiff,PointDiff,MomentumDiff,IsBreakPoint,SetPressure,IsSecondServe,ServerWon
5,8,289,5,2,1,1,153,135,230,136,2,2,3,0,18,94,0,1,1,1
4,4,211,1,2,1,0,104,106,142,153,1,2,-1,-1,-2,-11,0,4,1,1
3,9,202,4,4,3,3,98,103,110,122,1,1,0,0,-5,-12,0,2,0,0
1,1,2,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0,6,0,1
4,7,223,4,2,0,0,122,100,181,90,2,1,2,1,22,91,0,2,1,1
2,8,144,4,3,1,3,70,73,103,111,0,1,1,-1,-3,-8,1,2,0,1
4,13,283,6,6,2,4,134,148,125,199,1,2,0,-1,-14,-74,1,0,0,0
2,1,45,0,0,1,0,30,14,75,1,1,0,0,1,16,74,0,6,1,1
2,5,74,2,2,4,3,41,32,65,24,1,0,0,1,9,41,0,4,1,0
4,3,209,0,2,1,1,100,108,102,161,1,2,-2,-1,-8,-59,0,4,0,1
3,7,176,3,3,1,1,90,85,173,123,2,0,0,2,5,50,0,3,0,0
1,4,30,1,2,0,3,11,18,10,34,0,0,-1,0,-7,-24,1,4,1,1
1,7,36,5,1,0,0,24,11,51,12,0,0,4,0,13,39,0,1,0,1
3,3,146,1,1,1,0,71,74,100,109,1,1,0,0,-3,-9,0,5,0,0
1,5,43,3,1,2,1,24,18,34,18,0,0,2,0,6,16,0,3,0,1
1,8,59,5,2,0,0,32,26,41,17,0,0,3,0,6,24,0,1,1,1
3,6,130,2,3,3,1,79,50,154,25,2,0,-1,2,29,129,0,3,0,1
1,2,11,0,1,2,2,4,6,4,12,0,0,-1,0,-2,-8,0,5,1,0
3,3,152,1,1,2,1,67,84,69,137,0,2,0,-2,-17,-68,0,5,1,1
2,4,81,1,2,0,1,43,37,66,42,1,0,-1,1,6,24,0,4,0,1
1,11,61,5,5,1,0,32,28,61,57,0,0,0,0,4,4,0,1,1,1
1,1,5,0,0,2,2,2,2,2,5,0,0,0,0,0,-3,0,6,1,1
5,5,268,4,0,3,2,139,128,199,153,2,2,4,0,11,46,0,2,1,1
2,9,139,4,4,2,0,69,69,96,118,0,1,0,-1,0,-22,0,2,1,1
1,9,44,4,4,2,0,22,21,33,28,0,0,0,0,1,5,0,2,0,1
3,3,127,1,1,0,0,60,66,65,96,1,1,0,0,-6,-31,0,5,1,1
3,6,149,1,4,3,0,71,77,100,115,1,1,-3,0,-6,-15,0,2,0,1
1,10,51,5,4,0,0,27,23,32,26,0,0,1,0,4,6,0,1,0,1
1,6,32,2,3,0,3,13,18,16,28,0,0,-1,0,-5,-12,1,3,0,1
3,1,147,0,0,2,1,68,78,79,121,1,1,0,0,-10,-42,0,6,0,1
1,11,67,5,5,2,1,35,31,53,41,0,0,0,0,4,12,0,1,1,0
1,1,5,0,0,3,1,3,1,8,1,0,0,0,0,2,7,0,6,0,0
1,5,23,4,0,1,1,17,5,45,2,0,0,4,0,12,43,0,2,0,1
1,2,10,0,1,1,0,4,5,6,9,0,0,-1,0,-1,-3,0,5,1,1
2,11,130,5,5,1,0,61,68,53,90,0,1,0,-1,-7,-37,0,1,1,0
1,9,53,3,5,3,4,22,30,18,49,0,0,-2,0,-8,-31,1,1,1,1
3,4,150,2,1,0,0,70,79,86,134,0,2,1,-2,-9,-48,0,4,1,1
4,3,229,1,1,0,0,119,109,191,185,2,1,0,1,10,6,0,5,0,0
1,4,20,1,2,0,1,8,11,6,16,0,0,-1,0,-3,-10,0,4,1,1
1,7,38,3,3,0,0,17,20,10,24,0,0,0,0,-3,-14,0,3,1,0
1,1,4,0,0,2,1,2,1,7,1,0,0,0,0,1,6,0,6,1,1
3,7,152,3,3,2,1,70,81,94,160,0,2,0,-2,-11,-66,0,3,1,1
2,7,121,4,2,0,0,65,55,113,54,1,0,2,1,10,59,0,2,0,1
2,8,94,3,4,3,3,41,52,43,107,0,1,-1,-1,-11,-64,0,2,0,1
4,12,246,6,5,0,0,130,115,211,165,2,1,1,1,15,46,0,0,1,1
3,4,121,1,2,2,3,47,73,29,156,0,2,-1,-2,-26,-127,1,4,0,1
4,2,193,0,1,1,1,99,93,177,119,2,1,-1,1,6,58,0,5,1,1
1,4,17,1,2,1,0,7,9,16,14,0,0,-1,0,-2,2,0,4,0,1
1,7,31,3,3,0,0,13,17,12,21,0,0,0,0,-4,-9,0,3,0,1
3,5,153,3,1,3,3,74,78,65,107,0,2,2,-2,-4,-42,0,3,1,0
2,7,104,3,3,2,0,48,55,27,67,0,1,0,-1,-7,-40,0,3,0,1
2,11,119,5,5,2,1,58,60,44,69,0,1,0,-1,-2,-25,0,1,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,2,10,0,1,1,2,3,6,1,10,0,0,-1,0,-3,-9,0,5,1,1
3,6,151,1,4,0,1,66,84,110,207,1,1,-3,0,-18,-97,0,2,1,1
1,2,10,0,1,1,3,2,7,3,15,0,0,-1,0,-5,-12,1,5,0,1
2,6,93,2,3,0,1,52,40,69,36,1,0,-1,1,12,33,0,3,1,1
3,1,97,0,0,1,3,37,59,39,144,0,2,0,-2,-22,-105,1,6,1,1
3,3,164,1,1,2,1,85,78,114,96,1,1,0,0,7,18,0,5,0,0
4,5,250,2,2,3,2,125,124,169,188,1,2,0,-1,1,-19,0,4,0,1
1,3,19,2,0,1,1,11,7,16,1,0,0,2,0,4,15,0,4,0,1
1,13,92,6,6,7,7,45,46,70,66,0,0,0,0,-1,4,0,0,0,1
1,10,63,4,5,0,0,30,32,59,60,0,0,-1,0,-2,-1,0,1,1,1
3,6,135,3,2,2,2,76,58,144,54,2,0,1,2,18,90,0,3,1,0
1,3,15,2,0,0,2,8,6,16,7,0,0,2,0,2,9,0,4,0,0
3,2,125,1,0,3,2,59,65,67,78,1,1,1,0,-6,-11,0,5,1,0
3,4,135,1,2,3,1,76,58,115,17,2,0,-1,2,18,98,0,4,1,0
1,8,46,4,3,3,0,26,19,46,24,0,0,1,0,7,22,0,2,0,0
2,3,69,2,0,3,2,40,28,70,12,1,0,2,1,12,58,0,4,1,1
1,1,6,0,0,2,3,2,3,1,5,0,0,0,0,-1,-4,1,6,1,0
3,1,136,0,0,3,2,66,69,77,110,0,2,0,-2,-3,-33,0,6,0,1
1,6,31,2,3,1,0,14,16,20,34,0,0,-1,0,-2,-14,0,3,1,1
1,7,48,3,3,1,0,24,23,25,22,0,0,0,0,1,3,0,3,0,0
1,8,48,4,3,2,1,25,22,31,15,0,0,1,0,3,16,0,2,1,1
2,3,76,1,1,3,3,34,41,49,85,0,1,0,-1,-7,-36,0,5,1,0
1,9,51,5,3,1,0,30,20,54,17,0,0,2,0,10,37,0,1,1,1
1,3,19,1,1,1,3,8,10,13,19,0,0,0,0,-2,-6,1,5,0,1
3,9,161,3,5,3,3,69,91,59,186,0,2,-2,-2,-22,-127,0,1,0,1
2,3,86,0,2,2,2,44,41,60,45,1,0,-2,1,3,15,0,4,1,1
1,8,58,3,4,1,0,28,29,20,28,0,0,-1,0,-1,-8,0,2,0,0
1,1,2,0,0,0,1,0,1,1,2,0,0,0,0,-1,-1,0,6,1,1
1,4,32,2,1,1,1,16,15,29,15,0,0,1,0,1,14,0,4,1,0
1,8,43,3,4,3,3,19,23,24,29,0,0,-1,0,-4,-5,0,2,1,0
2,1,47,0,0,3,3,16,30,10,77,0,1,0,-1,-14,-67,0,6,0,1
2,5,92,3,1,3,1,45,46,80,89,0,1,2,-1,-1,-9,0,3,0,1
2,6,85,2,3,1,2,43,41,72,55,1,0,-1,1,2,17,0,3,0,1
3,8,136,3,4,2,2,54,81,17,136,0,2,-1,-2,-27,-119,0,2,1,0
1,1,4,0,0,2,1,2,1,4,1,0,0,0,0,1,3,0,6,0,1
2,7,118,3,3,1,1,63,54,77,31,1,0,0,1,9,46,0,3,1,1
2,2,54,0,1,0,0,21,32,21,83,0,1,-1,-1,-11,-62,0,5,0,0
2,4,74,1,2,3,1,29,44,11,87,0,1,-1,-1,-15,-76,0,4,1,0
1,6,33,1,4,0,1,12,20,12,32,0,0,-3,0,-8,-20,0,2,0,1
5,1,257,0,0,2,1,125,131,105,165,2,2,0,0,-6,-60,0,6,1,0
1,5,24,2,2,1,2,12,11,23,23,0,0,0,0,1,0,0,4,1,1
2,2,87,0,1,0,0,37,49,45,85,0,1,-1,-1,-12,-40,0,5,1,0
1,10,55,5,4,0,2,27,27,39,27,0,0,1,0,0,12,0,1,1,1
1,1,7,0,0,3,3,3,3,8,6,0,0,0,0,0,2,0,6,1,0
3,4,143,1,2,1,0,67,75,82,123,1,1,-1,0,-8,-41,0,4,1,1
4,7,197,3,3,2,1,106,90,191,112,2,1,0,1,16,79,0,3,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
2,5,83,2,2,2,0,39,43,17,47,0,1,0,-1,-4,-30,0,4,0,1
5,4,312,2,1,1,1,160,151,186,107,2,2,1,0,9,79,0,4,0,1
3,1,85,0,0,1,0,54,30,123,1,2,0,0,2,24,122,0,6,1,0
1,2,9,0,1,1,1,3,5,1,8,0,0,-1,0,-2,-7,0,5,1,0
2,8,111,2,5,1,0,57,53,89,84,1,0,-3,1,4,5,0,1,1,1
5,1,282,0,0,1,1,140,141,200,193,2,2,0,0,-1,7,0,6,0,0
5,5,283,2,2,3,2,144,138,192,165,2,2,0,0,6,27,0,4,1,1
1,6,33,1,4,2,0,12,20,9,41,0,0,-3,0,-8,-32,0,2,0,1
2,2,87,0,1,2,3,42,44,42,31,1,0,-1,1,-2,11,1,5,1,1
1,9,49,4,4,3,2,25,23,17,25,0,0,0,0,2,-8,0,2,1,0
5,4,255,1,2,2,1,127,127,123,123,2,2,-1,0,0,0,0,4,0,0
1,5,24,2,2,1,1,10,13,7,23,0,0,0,0,-3,-16,0,4,1,1
2,8,140,3,4,0,1,67,72,41,80,0,1,-1,-1,-5,-39,0,2,1,1
3,5,139,2,2,0,0,73,65,53,61,1,1,0,0,8,-8,0,4,1,0
4,3,255,1,1,3,2,125,129,177,182,2,1,0,1,-4,-5,0,5,1,1
1,3,12,1,1,0,0,5,6,9,4,0,0,0,0,-1,5,0,5,0,1
2,5,95,2,2,3,2,50,44,70,35,1,0,0,1,6,35,0,4,1,1
1,7,45,5,1,2,0,26,18,38,2,0,0,4,0,8,36,0,1,1,0
2,4,65,1,2,1,2,35,29,65,36,1,0,-1,1,6,29,0,4,1,0
4,3,207,1,1,1,0,103,103,142,140,2,1,0,1,0,2,0,5,0,1
1,1,4,0,0,2,1,2,1,6,1,0,0,0,0,1,5,0,6,0,1
1,6,40,1,4,3,2,16,23,8,34,0,0,-3,0,-7,-26,0,2,0,0
1,6,39,2,3,4,3,19,19,20,18,0,0,-1,0,0,2,0,3,1,1
1,6,28,2,3,0,0,12,15,14,21,0,0,-1,0,-3,-7,0,3,1,1
2,4,88,2,1,3,3,47,40,82,34,1,0,1,1,7,48,0,4,0,0
3,6,155,4,1,3,2,80,74,97,54,1,1,3,0,6,43,0,2,0,1
1,2,11,0,1,0,2,3,7,1,13,0,0,-1,0,-4,-12,0,5,0,0
2,5,126,2,2,3,2,65,60,113,92,1,0,0,1,5,21,0,4,0,1
3,1,138,3,6,0,0,63,74,93,157,0,2,-3,-2,-11,-64,0,0,0,1
2,6,118,1,4,2,0,53,64,48,112,0,1,-3,-1,-11,-64,0,2,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
3,9,183,5,3,3,4,96,86,135,92,1,1,2,0,10,43,1,1,1,1
2,8,98,4,3,1,3,55,42,92,36,1,0,1,1,13,56,1,2,1,1
4,10,273,5,4,2,2,140,132,240,177,2,1,1,1,8,63,0,1,0,1
4,8,194,2,5,1,0,93,100,170,192,2,1,-3,1,-7,-22,0,1,1,1
5,1,244,0,0,2,2,124,119,166,157,2,2,0,0,5,9,0,6,0,0
1,7,41,3,3,1,1,22,18,39,26,0,0,0,0,4,13,0,3,0,0
3,8,173,2,5,0,3,86,86,102,120,1,1,-3,0,0,-18,1,1,1,1
4,7,256,3,3,3,2,132,123,253,203,2,1,0,1,9,50,0,3,1,0
3,8,156,3,4,0,0,90,65,170,41,2,0,-1,2,25,129,0,2,1,0
2,7,103,4,2,1,0,48,54,47,74,0,1,2,-1,-6,-27,0,2,1,0
2,1,66,0,0,3,2,37,28,66,22,1,0,0,1,9,44,0,6,0,0
1,1,6,0,0,3,2,3,2,8,4,0,0,0,0,1,4,0,6,0,0
4,6,199,1,4,3,0,103,95,130,96,2,1,-3,1,8,34,0,2,1,1
3,3,138,2,0,1,0,70,67,101,83,1,1,2,0,3,18,0,4,1,1
4,3,189,1,1,1,0,93,95,188,183,2,1,0,1,-2,5,0,5,1,1
3,6,184,2,3,1,0,98,85,121,90,1,1,-1,0,13,31,0,3,0,0
1,12,86,5,6,1,2,42,43,62,56,0,0,-1,0,-1,6,0,0,1,1
1,6,36,1,4,3,2,13,22,11,45,0,0,-3,0,-9,-34,0,2,1,1
3,3,141,1,1,1,0,71,69,56,62,1,1,0,0,2,-6,0,5,1,0
3,9,149,4,4,1,0,68,80,90,160,0,2,0,-2,-12,-70,0,2,0,1
3,10,240,5,4,4,3,121,118,96,94,1,1,1,0,3,2,0,1,1,1
2,6,87,2,3,3,3,43,43,74,53,1,0,-1,1,0,21,0,3,0,0
1,1,7,0,0,3,3,3,3,5,2,0,0,0,0,0,3,0,6,1,1
2,7,152,2,4,4,3,72,79,73,127,0,1,-2,-1,-7,-54,0,2,0,0
1,6,63,4,1,3,3,33,29,50,22,0,0,3,0,4,28,0,2,0,1
2,3,69,2,0,1,1,33,35,31,43,0,1,2,-1,-2,-12,0,4,1,0
1,1,8,0,0,4,3,4,3,3,2,0,0,0,0,1,1,0,6,1,1
1,6,53,2,3,3,3,26,26,26,32,0,0,-1,0,0,-6,0,3,0,0
1,4,21,2,1,2,0,13,7,32,15,0,0,1,0,6,17,0,4,1,0
1,12,66,5,6,0,0,29,36,39,73,0,0,-1,0,-7,-34,0,0,1,1
1,7,33,3,3,0,0,15,17,19,26,0,0,0,0,-2,-7,0,3,1,0
2,1,65,0,0,1,0,37,27,50,4,1,0,0,1,10,46,0,6,1,0
4,3,187,1,1,0,0,96,90,157,126,2,1,0,1,6,31,0,5,1,1
2,8,106,5,2,3,1,61,44,107,28,1,0,3,1,17,79,0,1,1,1
1,4,22,0,3,0,1,7,14,1,32,0,0,-3,0,-7,-31,0,3,1,1
2,9,96,4,4,2,1,51,44,97,63,1,0,0,1,7,34,0,2,0,1
2,6,110,1,4,1,0,56,53,85,80,1,0,-3,1,3,5,0,2,0,0
5,8,301,4,3,2,0,156,144,260,208,2,2,1,0,12,52,0,2,1,1
3,5,105,2,2,1,2,49,55,75,66,1,1,0,0,-6,9,0,4,1,0
1,4,18,1,2,2,2,7,10,8,18,0,0,-1,0,-3,-10,0,4,0,1
2,7,70,2,4,0,0,26,43,20,65,0,1,-2,-1,-17,-45,0,2,0,1
2,9,144,4,4,0,0,74,69,82,75,1,0,0,1,5,7,0,2,1,0
1,2,16,0,1,2,1,7,8,6,14,0,0,-1,0,-1,-8,0,5,0,1
2,5,64,1,3,3,0,36,27,75,36,1,0,-2,1,9,39,0,3,0,1
1,4,17,1,2,1,0,7,9,15,23,0,0,-1,0,-2,-8,0,4,1,1
5,13,321,6,6,9,6,165,155,195,163,2,2,0,0,10,32,0,0,0,0
3,4,172,1,2,3,0,92,79,112,80,1,1,-1,0,13,32,0,4,1,1
2,2,83,0,1,1,0,44,38,61,39,1,0,-1,1,6,22,0,5,1,1
1,6,41,2,3,3,1,19,21,25,34,0,0,-1,0,-2,-9,0,3,1,1
3,1,135,3,6,0,0,68,66,86,77,1,1,-3,0,2,9,0,0,1,0
3,7,141,3,3,2,3,80,60,164,57,2,0,0,2,20,107,1,3,1,1
3,2,144,0,1,3,4,71,72,90,98,1,1,-1,0,-1,-8,1,5,0,1
1,7,34,4,2,2,0,20,13,46,19,0,0,2,0,7,27,0,2,0,1
1,9,52,5,3,3,3,27,24,37,23,0,0,2,0,3,14,0,1,0,1
1,10,54,4,5,2,0,26,27,28,19,0,0,-1,0,-1,9,0,1,0,0
2,10,96,4,5,2,0,52,43,90,57,1,0,-1,1,9,33,0,1,0,1
2,5,73,2,2,0,1,31,41,33,77,0,1,0,-1,-10,-44,0,4,0,1
1,1,2,0,0,0,1,0,1,1,1,0,0,0,0,-1,0,0,6,0,0
1,8,41,4,3,0,0,20,20,41,30,0,0,1,0,0,11,0,2,1,1
1,6,35,2,3,1,0,18,16,23,19,0,0,-1,0,2,4,0,3,1,1
1,1,5,0,0,2,2,2,2,4,1,0,0,0,0,0,3,0,6,0,1
1,7,37,2,4,2,3,15,21,15,49,0,0,-2,0,-6,-34,1,2,1,1
2,5,112,2,2,0,0,57,54,86,53,1,0,0,1,3,33,0,4,1,1
3,9,177,5,3,0,0,95,81,143,84,1,1,2,0,14,59,0,1,1,0
1,2,8,1,0,2,1,6,1,13,3,0,0,1,0,5,10,0,5,1,1
1,3,22,1,1,2,3,10,11,17,13,0,0,0,0,-1,4,1,5,1,1
2,2,64,0,1,2,0,34,29,75,48,1,0,-1,1,5,27,0,5,0,1
3,5,157,1,3,1,1,78,78,124,117,1,1,-2,0,0,7,0,3,0,1
4,12,280,5,6,3,3,134,145,153,196,2,1,-1,1,-11,-43,0,0,1,1
3,1,100,2,6,0,0,40,59,18,121,0,2,-4,-2,-19,-103,0,0,1,0
1,4,19,0,3,3,1,5,13,6,23,0,0,-3,0,-8,-17,0,3,1,0
2,4,68,1,2,3,1,40,27,79,15,1,0,-1,1,13,64,0,4,1,0
2,10,130,4,5,2,1,68,61,95,68,1,0,-1,1,7,27,0,1,0,0
3,8,155,2,5,1,2,68,86,17,101,0,2,-3,-2,-18,-84,0,1,0,1
4,7,204,3,3,1,0,99,104,146,150,2,1,0,1,-5,-4,0,3,1,0
5,1,259,0,0,1,1,126,132,156,196,2,2,0,0,-6,-40,0,6,1,1
1,3,20,1,1,1,0,10,9,18,14,0,0,0,0,1,4,0,5,0,1
1,5,34,2,2,3,1,18,15,29,22,0,0,0,0,3,7,0,4,1,0
1,3,12,1,1,2,0,6,5,11,11,0,0,0,0,1,0,0,5,1,1
2,3,70,2,0,3,3,30,39,28,60,0,1,2,-1,-9,-32,0,4,1,0
1,5,24,2,2,2,1,13,10,17,12,0,0,0,0,3,5,0,4,1,1
3,9,185,3,5,3,1,90,94,84,128,1,1,-2,0,-4,-44,0,1,1,0
1,6,36,1,4,3,1,14,21,13,39,0,0,-3,0,-7,-26,0,2,0,1
4,1,199,0,0,2,1,103,95,144,112,1,2,0,-1,8,32,0,6,0,0
1,7,47,2,4,1,0,22,24,30,53,0,0,-2,0,-2,-23,0,2,1,0
4,10,270,4,5,1,1,140,129,209,157,2,1,-1,1,11,52,0,1,1,1
4,6,229,4,1,4,3,130,98,184,30,2,1,3,1,32,154,0,2,0,0
1,6,31,3,2,1,3,17,13,34,11,0,0,1,0,4,23,1,3,0,1
2,4,118,1,2,3,4,59,58,67,63,1,0,-1,1,1,4,1,4,0,0
2,3,59,2,0,2,1,37,21,69,2,1,0,2,1,16,67,0,4,0,1
3,2,167,0,1,0,0,83,83,134,112,2,0,-1,2,0,22,0,5,0,1
1,8,48,2,5,0,1,18,29,21,55,0,0,-3,0,-11,-34,0,1,1,1
1,10,62,5,4,1,1,30,31,49,31,0,0,1,0,-1,18,0,1,1,1
2,1,67,0,0,1,0,30,36,29,58,0,1,0,-1,-6,-29,0,6,1,0
3,3,153,0,2,0,1,68,84,34,107,1,1,-2,0,-16,-73,0,4,1,0
2,3,75,1,1,2,3,42,32,68,15,1,0,0,1,10,53,1,5,1,1
3,9,165,3,5,0,2,76,88,89,136,1,1,-2,0,-12,-47,0,1,0,1
3,10,154,5,4,0,0,80,73,132,100,1,1,1,0,7,32,0,1,1,0
2,3,81,1,1,0,0,46,34,102,49,1,0,0,1,12,53,0,5,1,1
4,2,181,1,0,0,0,97,83,166,96,2,1,1,1,14,70,0,5,1,1
1,6,36,3,2,4,3,20,15,30,10,0,0,1,0,5,20,0,3,0,1
4,3,182,1,1,3,3,96,85,177,124,2,1,0,1,11,53,0,5,0,0
1,4,22,1,2,0,1,9,12,3,20,0,0,-1,0,-3,-17,0,4,0,0
1,13,88,6,6,5,1,44,43,57,51,0,0,0,0,1,6,0,0,0,1
1,4,21,2,1,2,3,11,9,20,7,0,0,1,0,2,13,1,4,1,1
3,2,135,0,1,3,3,67,67,84,67,1,1,-1,0,0,17,0,5,0,0
2,4,83,1,2,1,1,44,38,46,12,1,0,-1,1,6,34,0,4,1,1
3,7,159,3,3,1,1,81,77,179,139,2,0,0,2,4,40,0,3,1,0
4,6,197,3,2,0,1,104,92,187,128,2,1,1,1,12,59,0,3,1,1
1,2,5,0,1,0,0,0,4,1,8,0,0,-1,0,-4,-7,0,5,0,0
2,10,147,5,4,2,0,75,71,101,92,0,1,1,-1,4,9,0,1,1,1
2,3,85,0,2,3,4,35,49,1,78,0,1,-2,-1,-14,-77,1,4,0,0
2,12,144,5,6,1,1,73,70,102,80,1,0,-1,1,3,22,0,0,1,1
3,6,146,1,4,3,2,68,77,91,132,1,1,-3,0,-9,-41,0,2,1,1
1,3,16,1,1,0,1,7,8,13,15,0,0,0,0,-1,-2,0,5,0,0
2,10,115,4,5,0,2,60,54,86,71,1,0,-1,1,6,15,0,1,0,1
1,13,74,6,6,6,1,40,33,79,55,0,0,0,0,7,24,0,0,1,0
2,2,65,1,0,0,0,26,38,18,72,0,1,1,-1,-12,-54,0,5,0,1
3,5,139,2,2,2,0,65,73,80,142,0,2,0,-2,-8,-62,0,4,1,0
2,2,61,0,1,3,1,31,29,69,39,1,0,-1,1,2,30,0,5,0,0
1,7,47,3,3,3,3,23,23,18,24,0,0,0,0,0,-6,0,3,1,0
1,1,2,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0,6,1,1
1,8,44,2,5,0,2,17,26,18,50,0,0,-3,0,-9,-32,0,1,0,1
4,8,246,4,3,3,0,128,117,163,99,1,2,1,-1,11,64,0,2,1,1
1,6,43,1,4,3,4,16,26,9,53,0,0,-3,0,-10,-44,1,2,1,0
1,9,50,5,3,2,2,26,23,35,21,0,0,2,0,3,14,0,1,0,0
1,5,32,2,2,1,2,15,16,20,15,0,0,0,0,-1,5,0,4,0,1
3,2,110,0,1,3,0,55,54,63,75,1,1,-1,0,1,-12,0,5,1,1
2,7,88,5,1,1,3,57,30,113,22,1,0,4,1,27,91,1,1,1,0
4,4,174,0,3,0,1,83,90,157,175,2,1,-3,1,-7,-18,0,3,1,0
2,7,100,3,3,1,1,45,54,41,84,0,1,0,-1,-9,-43,0,3,1,1
2,3,86,1,1,3,3,38,47,26,81,0,1,0,-1,-9,-55,0,5,0,1
3,8,186,5,2,3,2,97,88,169,108,1,1,3,0,9,61,0,1,0,1
3,4,211,1,2,0,1,106,104,37,37,1,1,-1,0,2,0,0,4,1,1
1,7,39,3,3,3,2,19,19,20,22,0,0,0,0,0,-2,0,3,1,0
1,6,38,2,3,0,2,16,21,13,32,0,0,-1,0,-5,-19,0,3,1,1
1,5,32,2,2,2,2,16,15,18,12,0,0,0,0,1,6,0,4,0,1
4,10,219,4,5,0,0,111,107,171,131,2,1,-1,1,4,40,0,1,1,1
2,4,69,1,2,1,1,40,28,88,30,1,0,-1,1,12,58,0,4,1,1
1,5,34,2,2,3,2,17,16,16,15,0,0,0,0,1,1,0,4,0,0
2,7,96,3,3,3,0,52,43,80,24,1,0,0,1,9,56,0,3,0,0
1,6,29,0,5,1,0,8,20,2,29,0,0,-5,0,-12,-27,0,1,0,0
2,8,135,3,4,2,0,67,67,75,85,0,1,-1,-1,0,-10,0,2,1,1
3,3,137,1,1,3,3,65,71,77,86,1,1,0,0,-6,-9,0,5,1,1
3,8,135,5,2,2,2,80,54,165,17,2,0,3,2,26,148,0,1,1,1
